class,meanlog,sdlog,LMAX
Echinoidea,0.941102448557752,0.403344039508602,12
Echinoidea,1.64591368616381,0.159652427151759,17
Gastropoda,1.8548393279985,0.0516891751523779,7.5
Gastropoda,1.30552166647658,0.0901407136869192,6
Crinoidea,2.08035857216311,0.265331719158164,46
Crinoidea,1.03542142406889,0.133720648983692,35
Holothuroidea,1.68770189504845,0.953320634280319,25
Gastropoda,2.36541608380194,0.381670031426115,25
Malacostraca,1.97097467173108,0.107963549161513,60
Gastropoda,2.5191952691534,0.210718439051785,25
Malacostraca,2.01368634294552,0.339764698579318,64
Gastropoda,2.77305189374637,0.19001991884446,26
Gastropoda,1.23760715510691,0.099985088816476,4
Holothuroidea,2.23215697014837,0.92719288724387,45
Crinoidea,1.74557280925688,0.28733080821917,20
Malacostraca,1.99264591493462,0.778121709456036,18
Malacostraca,2.33209753062293,0.477568170190431,45
Asteroidea,1.61945981268383,0.598482892077251,20
Asteroidea,1.69545875185882,0.770172985757698,15
Malacostraca,2.16905281852819,0.0445286961469032,11
Asteroidea,1.772615396682,0.389345478434947,9
Malacostraca,1.74920923134844,0.583436719099559,8
Gastropoda,1.62598368110503,0.229738333156599,12.3
Gastropoda,2.42036079929947,0.0391997431121247,8
Echinoidea,1.44783396379677,0.43935968012031,7
Asteroidea,2.78974816366989,0.929683522909666,80
Gastropoda,1.97880908706794,0.267638578799571,8
Gastropoda,1.27927917073286,0.0985889714592432,8
Gastropoda,1.3217622966364,0.0831182590938575,15
Holothuroidea,1.11325999947063,0.573996123563843,30
Gastropoda,1.92136801846505,0.0452343126919582,9.46777777777778
Crinoidea,2.21273736743905,0.380914717235674,44
Holothuroidea,2.69414348760746,0.294446294497271,50
Crinoidea,1.8548393279985,0.0516891751523779,28
Gastropoda,1.27927917073286,0.0985889714592432,3.5
Gastropoda,2.75176121819057,0.321453790388002,30.375
Holothuroidea,2.8917155978866,0.18801805689204,35
Gastropoda,1.39977272762539,0.0730799216598023,7.5
Holothuroidea,2.36818749864665,0.505961947636271,20
Holothuroidea,3.2137447056885,0.202730292305143,40
Holothuroidea,3.49025307947084,0.215258311567913,80
Holothuroidea,3.01767561370766,0.15676368302439,17
Gastropoda,1.3217622966364,0.0831182590938575,4.5
Asteroidea,2.5191952691534,0.210718439051785,22
Gastropoda,1.83257401420784,0.0602656504035577,5
Holothuroidea,3.48124171163579,0.0230545340176296,60
Gastropoda,1.6018795707287,0.716739531982812,60
Malacostraca,1.96123927276292,0.335699278101029,12
Malacostraca,1.2584908169691,0.111811701342251,8
Echinoidea,1.71623394325327,0.255094467351191,16
Gastropoda,1.37863279263226,0.0788188742146041,5
Echinoidea,1.28896223251342,0.0940133311866523,8.83333333333333
Gastropoda,1.54035519800242,0.189643125480427,8.33333333333333
Echinoidea,2.23908555030645,0.122119864126145,15
Asteroidea,2.28490441623247,0.192752433332144,20
Gastropoda,1.80537191108112,0.0631822774590381,8.33333333333333
Gastropoda,1.8548393279985,0.0516891751523779,6
