group,bin_mid,norm_density
fish-only,48,0.00528125
combined,52.8,0.017375
fish-only,48,0.003125
combined,52.8,0.011875
fish-only,48,0.0041875
combined,52.8,0.0189375
fish-only,48,0.0416875
combined,52.8,0.0711875
fish-only,48,0.00628125
combined,52.8,0.024
fish-only,48,0.01325
combined,52.8,0.0150625
fish-only,48,0.01603125
combined,52.8,0.03153125
fish-only,48,0.0005625
combined,52.8,0.014125
fish-only,48,0.0049
combined,52.8,0.0221875
fish-only,48,0.000875
combined,52.8,0.0174375
fish-only,48,0.0069375
combined,52.8,0.0190625
fish-only,48,0.0360703125
combined,52.8,0.0813515625
fish-only,48,0.0011875
combined,52.8,0.0964375
fish-only,48,0.00528571428571429
combined,52.8,0.0539375
fish-only,48,0.0741354166666667
combined,52.8,0.0932604166666667
fish-only,48,0.0049875
combined,52.8,0.0821875
fish-only,48,0.02734375
combined,52.8,0.04053125
fish-only,48,0.0023875
combined,52.8,0.0291
fish-only,48,0.003
combined,52.8,0.024525
fish-only,48,0.006875
combined,52.8,0.0469375
fish-only,48,0.006671875
combined,52.8,0.050984375
fish-only,48,0.000729166666666667
combined,52.8,0.0211875
fish-only,48,0.00105208333333333
combined,52.8,0.0256458333333333
fish-only,48,0.00075
combined,52.8,0.027125
fish-only,48,0.0198125
combined,52.8,0.03553125
fish-only,48,0.005125
combined,52.8,0.0603125
fish-only,48,0.004
combined,52.8,0.02475
fish-only,48,0.0227767857142857
combined,52.8,0.0269375
fish-only,48,0.0369375
combined,52.8,0.0369375
fish-only,48,0.0005625
combined,52.8,0.43028125
fish-only,48,0.000791666666666667
combined,52.8,0.123604166666667
fish-only,48,0.01146875
combined,52.8,0.0536875
fish-only,48,0.002
combined,52.8,0.0381875
fish-only,48,0.00303125
combined,52.8,0.0573125
fish-only,48,0.00214583333333333
combined,52.8,0.174270833333333
fish-only,48,0.0015625
combined,52.8,0.19196875
fish-only,48,0.00340625
combined,52.8,0.20465625
fish-only,48,6.25e-05
combined,52.8,0.38709375
fish-only,48,0.00296875
combined,52.8,0.04609375
fish-only,48,0.002
combined,52.8,0.07946875
fish-only,48,0.000708333333333333
combined,52.8,0.185666666666667
fish-only,48,0.00258333333333333
combined,52.8,0.1191875
fish-only,48,0.00325
combined,52.8,0.00375
fish-only,48,0.0140625
combined,52.8,0.015875
fish-only,48,0.0029375
combined,52.8,0.00325
fish-only,48,0.0051875
combined,52.8,0.005375
fish-only,48,0.0051875
combined,52.8,0.0054375
fish-only,48,0.0065
combined,52.8,0.0095625
fish-only,48,0.0014375
combined,52.8,0.00175
fish-only,48,0.0006875
combined,52.8,0.002875
fish-only,48,0.0030625
combined,52.8,0.007875
fish-only,48,0.002625
combined,52.8,0.00275
fish-only,48,0.000625
combined,52.8,0.0049375
fish-only,48,0.002
combined,52.8,0.002
fish-only,48,0.001
combined,52.8,0.0021875
fish-only,48,0.0013125
combined,52.8,0.0035
fish-only,48,0.00909375
combined,52.8,0.0141875
fish-only,48,0.00644642857142857
combined,52.8,0.0200491071428571
fish-only,48,0.004796875
combined,52.8,0.025565625
fish-only,48,0.0058125
combined,52.8,0.0146875
fish-only,48,0.00105729166666667
combined,52.8,0.022484375
fish-only,48,0.00046875
combined,52.8,0.029171875
fish-only,48,0.00025
combined,52.8,0.0105
fish-only,48,0.00547172619047619
combined,52.8,0.0199985119047619
fish-only,48,0.000791666666666667
combined,52.8,0.0266145833333333
fish-only,48,0.005703125
combined,52.8,0.029546875
fish-only,48,0.00204166666666667
combined,52.8,0.0126875
fish-only,48,0.0061015625
combined,52.8,0.033796875
fish-only,48,0.0003125
combined,52.8,0.001125
fish-only,48,0.00115
combined,52.8,0.0063125
fish-only,48,0.0031875
combined,52.8,0.00328125
fish-only,48,0.0069375
combined,52.8,0.0069375
fish-only,48,0.00290625
combined,52.8,0.003
fish-only,48,0.00321875
combined,52.8,0.00525
fish-only,48,6.25e-05
combined,52.8,6.25e-05
fish-only,48,0.01390625
combined,52.8,0.0145625
fish-only,48,0.002625
combined,52.8,0.01015625
fish-only,48,0.004046875
combined,52.8,0.004171875
fish-only,48,0.0039375
combined,52.8,0.0041875
fish-only,48,0.00534375
combined,52.8,0.0055
fish-only,48,0.0010078125
combined,52.8,0.003578125
fish-only,48,0.0085625
combined,52.8,0.0085625
fish-only,48,0.0036875
combined,52.8,0.0038125
fish-only,48,0.01696875
combined,52.8,0.01696875
fish-only,48,0.0735625
combined,52.8,0.0735625
fish-only,48,0.00528125
combined,52.8,0.0090625
fish-only,48,0.00690625
combined,52.8,0.00690625
fish-only,48,0.222
combined,52.8,0.2221875
fish-only,48,0.0330625
combined,52.8,0.0330625
fish-only,48,0.25775
combined,52.8,0.25778125
fish-only,48,0.00289583333333333
combined,52.8,0.00327083333333333
fish-only,48,0.0029375
combined,52.8,0.00328125
fish-only,48,0.01925
combined,52.8,0.01925
fish-only,48,0.00175
combined,52.8,0.01359375
fish-only,48,0.002875
combined,52.8,0.003625
fish-only,48,0.001875
combined,52.8,0.0020625
fish-only,48,0.020125
combined,52.8,0.0279375
fish-only,48,0.0041875
combined,52.8,0.0230625
fish-only,48,0.0216875
combined,52.8,0.074
fish-only,48,0.00875
combined,52.8,0.036875
fish-only,48,0.0010625
combined,52.8,0.009625
fish-only,48,0.0028125
combined,52.8,0.0105625
fish-only,48,0.00325
combined,52.8,0.0089375
fish-only,48,0.00410416666666667
combined,52.8,0.00728125
fish-only,48,0.0112
combined,52.8,0.0159375
fish-only,48,0.0051875
combined,52.8,0.02946875
fish-only,48,0.00725
combined,52.8,0.037
fish-only,48,0.00534375
combined,52.8,0.02996875
fish-only,48,0.00509375
combined,52.8,0.0235625
fish-only,48,0.013
combined,52.8,0.01565625
fish-only,48,0.0020625
combined,52.8,0.0055
fish-only,48,0.00121875
combined,52.8,0.007125
fish-only,48,0.00178125
combined,52.8,0.0029375
fish-only,48,0.01725
combined,52.8,0.02440625
fish-only,48,0.0020625
combined,52.8,0.01875
fish-only,48,0.010453125
combined,52.8,0.0134375
fish-only,48,0.007125
combined,52.8,0.01778125
fish-only,48,0.0035625
combined,52.8,0.006671875
fish-only,48,0.0065
combined,52.8,0.00984722222222222
fish-only,48,0.00759375
combined,52.8,0.012265625
fish-only,48,0.007765625
combined,52.8,0.01653125
fish-only,48,0.003265625
combined,52.8,0.007953125
fish-only,48,0.00333333333333333
combined,52.8,0.00483333333333333
fish-only,48,0.00675
combined,52.8,0.0098125
fish-only,48,0.00603125
combined,52.8,0.0299270833333333
fish-only,48,0.003
combined,52.8,0.0060625
fish-only,48,0.00396875
combined,52.8,0.01084375
fish-only,48,0.00291666666666667
combined,52.8,0.00654166666666667
fish-only,48,0.00584375
combined,52.8,0.008015625
fish-only,48,0.0004375
combined,52.8,0.0135
fish-only,48,0.00266666666666667
combined,52.8,0.0201458333333333
fish-only,48,0.01203125
combined,52.8,0.02034375
fish-only,48,0.0048125
combined,52.8,0.0178125
fish-only,48,0.0111458333333333
combined,52.8,0.0122291666666667
fish-only,48,0.00196875
combined,52.8,0.00196875
fish-only,48,0.001640625
combined,52.8,0.00525
fish-only,48,0.01840625
combined,52.8,0.06446875
fish-only,48,0.0234375
combined,52.8,0.024375
fish-only,48,0.030625
combined,52.8,0.0349375
fish-only,48,0.0233125
combined,52.8,0.0243125
fish-only,48,0.016125
combined,52.8,0.017875
fish-only,48,0.00445833333333333
combined,52.8,0.00585416666666667
fish-only,48,0.00334375
combined,52.8,0.01215625
fish-only,48,0.2190625
combined,52.8,0.2229375
fish-only,48,0.0024375
combined,52.8,0.00289583333333333
fish-only,48,0.011125
combined,52.8,0.0158125
fish-only,48,0.0279375
combined,52.8,0.029875
fish-only,48,0.00340625
combined,52.8,0.0045625
fish-only,48,0.01865625
combined,52.8,0.066125
fish-only,48,0.0126875
combined,52.8,0.02109375
fish-only,48,0.00496875
combined,52.8,0.0436875
fish-only,48,0.006
combined,52.8,0.0265
fish-only,48,0.0256875
combined,52.8,0.0345625
fish-only,48,0.00084375
combined,52.8,0.00134375
fish-only,48,0.001125
combined,52.8,0.00215625
fish-only,48,0.003375
combined,52.8,0.00485416666666667
fish-only,48,0.0175625
combined,52.8,0.0199375
fish-only,48,0.0173125
combined,52.8,0.0303125
fish-only,48,0.06265625
combined,52.8,0.07396875
fish-only,48,0.0030625
combined,52.8,0.00603125
fish-only,48,0.0156875
combined,52.8,0.07171875
fish-only,48,0.02071875
combined,52.8,0.07734375
fish-only,48,0.0194583333333333
combined,52.8,0.0247291666666667
fish-only,48,0.00425
combined,52.8,0.01959375
fish-only,48,0.0064375
combined,52.8,0.02290625
fish-only,48,0.00503125
combined,52.8,0.01884375
fish-only,48,0.0490833333333333
combined,52.8,0.0503125
fish-only,48,0.053875
combined,52.8,0.05925
fish-only,48,0.004125
combined,52.8,0.0088125
fish-only,48,0.0035625
combined,52.8,0.0129375
fish-only,48,0.0034375
combined,52.8,0.0074375
fish-only,48,0.0025
combined,52.8,0.0231875
fish-only,48,0.009125
combined,52.8,0.017125
fish-only,48,0.0081875
combined,52.8,0.0199375
fish-only,48,0.0083125
combined,52.8,0.0128125
fish-only,48,0.001
combined,52.8,0.0070625
fish-only,48,0.0059375
combined,52.8,0.0113125
fish-only,48,0.01253125
