group,bin_mid,norm_density
fish-only,192,0.000171875
combined,211.2,0.00109375
fish-only,192,0.00021875
combined,211.2,0.01071875
fish-only,192,7.8125e-05
combined,211.2,0.000328125
fish-only,192,4.6875e-05
combined,211.2,0.001359375
fish-only,192,1.5625e-05
combined,211.2,0.00015625
fish-only,192,1.5625e-05
combined,211.2,0.0004375
fish-only,192,0.000125
combined,211.2,0.001875
fish-only,192,8.984375e-05
combined,211.2,0.00183203125
fish-only,192,0.000109375
combined,211.2,0.00015625
fish-only,192,3.125e-05
combined,211.2,6.25e-05
fish-only,192,6.77083333333334e-05
combined,211.2,0.012078125
fish-only,192,0.000182291666666667
combined,211.2,0.000791666666666667
fish-only,192,1.5625e-05
combined,211.2,0.00015625
fish-only,192,6.25e-05
combined,211.2,0.000203125
fish-only,192,7.8125e-05
combined,211.2,0.001734375
fish-only,192,2.734375e-05
combined,211.2,0.00305859375
fish-only,192,7.8125e-05
combined,211.2,0.0001875
fish-only,192,0.000453125
combined,211.2,0.00046875
fish-only,192,0.000140625
combined,211.2,0.0016875
fish-only,192,0.00021875
combined,211.2,0.0004375
fish-only,192,0.000125
combined,211.2,0.001671875
fish-only,192,0.00015625
combined,211.2,0.0055
fish-only,192,0.00021875
combined,211.2,0.00128125
fish-only,192,0.00015625
combined,211.2,0.000296875
fish-only,192,0.000171875
combined,211.2,0.0019375
fish-only,192,9.375e-05
combined,211.2,0.003203125
fish-only,192,3.125e-05
combined,211.2,0.000265625
fish-only,192,1.5625e-05
combined,211.2,0.0004921875
fish-only,192,9.375e-05
combined,211.2,0.000359375
fish-only,192,0.000390625
combined,211.2,0.00153125
fish-only,192,0.0003125
combined,211.2,0.00565625
fish-only,192,0.0001484375
combined,211.2,0.00018359375
fish-only,192,7.8125e-06
combined,211.2,0.00034375
fish-only,192,6.25e-05
combined,211.2,0.0001640625
fish-only,192,7.8125e-06
combined,211.2,0.0007265625
fish-only,192,6.25e-05
combined,211.2,0.00065625
fish-only,192,0.00021875
combined,211.2,0.000859375
fish-only,192,0.000265625
combined,211.2,0.005640625
fish-only,192,0.000134375
combined,211.2,0.000159375
fish-only,192,6.25e-05
combined,211.2,6.25e-05
fish-only,192,0.000515625
combined,211.2,0.005
fish-only,192,5.46875e-05
combined,211.2,0.0025703125
fish-only,192,0.00046875
combined,211.2,0.00334375
fish-only,192,3.125e-05
combined,211.2,0.0016875
fish-only,192,0.000182291666666667
combined,211.2,0.00140625
fish-only,192,4.6875e-05
combined,211.2,0.0029375
fish-only,192,8.59375e-05
combined,211.2,0.0006328125
fish-only,192,0.0001328125
combined,211.2,0.00228125
fish-only,192,0.00028125
combined,211.2,0.004484375
fish-only,192,0.00016796875
combined,211.2,0.00748828125
fish-only,192,3.125e-05
combined,211.2,0.000640625
fish-only,192,0.00046875
combined,211.2,0.001484375
fish-only,192,0.000296875
combined,211.2,0.005046875
fish-only,192,0.0003046875
combined,211.2,0.0025234375
fish-only,192,0.0004609375
combined,211.2,0.000984375
fish-only,192,0.000390625
combined,211.2,0.001515625
fish-only,192,0.0005546875
combined,211.2,0.00128125
fish-only,192,0.000328125
combined,211.2,0.0007578125
fish-only,192,0.0004453125
combined,211.2,0.000546875
fish-only,192,0.0002734375
combined,211.2,0.001625
fish-only,192,0.000171875
combined,211.2,0.0001875
fish-only,192,0.005796875
combined,211.2,0.0061328125
fish-only,192,0.000111328125
combined,211.2,0.0073203125
fish-only,192,0.000140625
combined,211.2,0.001453125
fish-only,192,6.25e-05
combined,211.2,0.008421875
fish-only,192,7.03125e-05
combined,211.2,0.0008046875
fish-only,192,7.03125e-05
combined,211.2,0.0001171875
fish-only,192,0.0001484375
combined,211.2,0.003296875
fish-only,192,4.6875e-05
combined,211.2,0.0040546875
fish-only,192,0.000421875
combined,211.2,0.004359375
fish-only,192,0.000125
combined,211.2,0.00289583333333333
fish-only,192,0.000114583333333333
combined,211.2,0.00280208333333333
fish-only,192,5.20833333333333e-06
combined,211.2,7.29166666666667e-05
fish-only,192,0.000140625
combined,211.2,0.002609375
fish-only,192,0.000255208333333333
combined,211.2,0.000255208333333333
fish-only,192,0.000140625
combined,211.2,0.000140625
fish-only,192,0.00015625
combined,211.2,0.000296875
fish-only,192,0.0001015625
combined,211.2,0.0001015625
fish-only,192,0.0001484375
combined,211.2,0.0001484375
fish-only,192,4.6875e-05
combined,211.2,0.000109375
fish-only,192,0.000125
combined,211.2,0.000140625
fish-only,192,0.0005625
combined,211.2,0.0005625
fish-only,192,0.0010859375
combined,211.2,0.0011015625
fish-only,192,0.00171875
combined,211.2,0.001734375
fish-only,192,0.0002265625
combined,211.2,0.000234375
fish-only,192,0.00121875
combined,211.2,0.0012421875
fish-only,192,0.0339375
combined,211.2,0.0339375
fish-only,192,0.0028203125
combined,211.2,0.0028203125
fish-only,192,0.001234375
combined,211.2,0.00125
fish-only,192,0.000984375
combined,211.2,0.0009921875
fish-only,192,9.375e-05
combined,211.2,9.375e-05
fish-only,192,0.000578125
combined,211.2,0.000640625
fish-only,192,0.00040625
combined,211.2,0.00046875
fish-only,192,0.00065625
combined,211.2,0.0006875
fish-only,192,0.00071875
combined,211.2,0.00071875
fish-only,192,0.0006875
combined,211.2,0.00265625
fish-only,192,0.001078125
combined,211.2,0.001078125
fish-only,192,0.000296875
combined,211.2,0.001671875
fish-only,192,0.00053125
combined,211.2,0.000671875
fish-only,192,0.00109375
combined,211.2,0.001125
fish-only,192,0.000484375
combined,211.2,5e-04
fish-only,192,0.00171875
combined,211.2,0.001734375
fish-only,192,0.000984375
combined,211.2,0.001015625
fish-only,192,4.6875e-05
combined,211.2,0.000203125
fish-only,192,1.5625e-05
combined,211.2,1.5625e-05
fish-only,192,0.000140625
combined,211.2,0.000171875
fish-only,192,1.5625e-05
combined,211.2,0.00121875
fish-only,192,0.00021875
combined,211.2,0.000265625
fish-only,192,0.000140625
combined,211.2,0.001796875
fish-only,192,0.00015625
combined,211.2,0.015203125
fish-only,192,0.00153125
combined,211.2,0.0025
fish-only,192,0.001046875
combined,211.2,0.001953125
fish-only,192,3.125e-05
combined,211.2,5e-04
fish-only,192,0.000859375
combined,211.2,0.000875
fish-only,192,2.34375e-05
combined,211.2,0.004640625
fish-only,192,1.5625e-05
combined,211.2,0.00290625
fish-only,192,0.000109375
combined,211.2,0.006828125
fish-only,192,0.000125
combined,211.2,0.00371875
fish-only,192,5.078125e-05
combined,211.2,0.0002421875
fish-only,192,7.8125e-06
combined,211.2,7.8125e-06
fish-only,192,1.5625e-05
combined,211.2,0.00144140625
fish-only,192,0.0046875
combined,211.2,0.004703125
fish-only,192,0.0031484375
combined,211.2,0.00315625
fish-only,192,0.000546875
combined,211.2,0.000546875
fish-only,192,0.0016953125
combined,211.2,0.0016953125
fish-only,192,0.0016875
combined,211.2,0.0016875
fish-only,192,0.0021015625
combined,211.2,0.0021171875
fish-only,192,0.000171875
combined,211.2,0.0001875
fish-only,192,0.0013203125
combined,211.2,0.00134375
fish-only,192,7.8125e-06
combined,211.2,5.46875e-05
fish-only,192,0.002265625
combined,211.2,0.002265625
fish-only,192,0.0045546875
combined,211.2,0.0045703125
fish-only,192,0.00653125
combined,211.2,0.00653125
fish-only,192,0.00028125
combined,211.2,0.0002890625
fish-only,192,0.000609375
combined,211.2,0.0006171875
fish-only,192,0.000390625
combined,211.2,0.000859375
fish-only,192,9.375e-05
combined,211.2,0.0004296875
fish-only,192,9.375e-05
combined,211.2,0.0021171875
fish-only,192,0.00225625
combined,211.2,0.01626875
fish-only,192,0.00073828125
combined,211.2,0.02503125
fish-only,192,0.00206640625
combined,211.2,0.04459765625
fish-only,192,0.001671875
combined,211.2,0.02171875
fish-only,192,3.125e-05
combined,211.2,0.000546875
fish-only,192,0.000421875
combined,211.2,0.0053984375
fish-only,192,0.000203125
combined,211.2,0.002171875
fish-only,192,0.000265625
combined,211.2,0.000578125
fish-only,192,0.000114583333333333
combined,211.2,0.0815677083333333
fish-only,192,0.000171875
combined,211.2,0.005921875
fish-only,192,0.000140625
combined,211.2,0.0007734375
fish-only,192,0.00025
combined,211.2,0.0017890625
fish-only,192,0.000421875
combined,211.2,0.00140625
fish-only,192,0.000296875
combined,211.2,0.001453125
fish-only,192,0.0003125
combined,211.2,0.014203125
fish-only,192,0.0005625
combined,211.2,0.0254453125
fish-only,192,2.34375e-05
combined,211.2,0.00053125
fish-only,192,0.0002578125
combined,211.2,0.000390625
fish-only,192,0.000208333333333333
combined,211.2,0.00484895833333333
fish-only,192,4.6875e-05
combined,211.2,0.00015625
fish-only,192,0.000125
combined,211.2,0.00396875
fish-only,192,0.000125
combined,211.2,0.001796875
fish-only,192,0.0001953125
combined,211.2,0.0006796875
fish-only,192,0.00136328125
combined,211.2,0.058609375
fish-only,192,0.000875
combined,211.2,0.0675625
fish-only,192,6.25e-05
combined,211.2,0.001828125
fish-only,192,0.0009375
combined,211.2,0.005609375
fish-only,192,7.8125e-06
combined,211.2,0.000796875
fish-only,192,7.03125e-05
combined,211.2,0.000359375
fish-only,192,7.8125e-06
combined,211.2,0.0003828125
fish-only,192,9.375e-05
combined,211.2,0.0012890625
fish-only,192,7.8125e-06
combined,211.2,0.000328125
fish-only,192,1.5625e-05
combined,211.2,3.90625e-05
fish-only,192,7.8125e-05
combined,211.2,0.0001875
fish-only,192,2.34375e-05
combined,211.2,0.0002421875
fish-only,192,0.0001484375
combined,211.2,0.000625
fish-only,192,0.0001953125
combined,211.2,0.002765625
fish-only,192,0.000109375
combined,211.2,0.003140625
fish-only,192,2.34375e-05
combined,211.2,0.000796875
fish-only,192,1.5625e-05
combined,211.2,0.00128125
fish-only,192,7.8125e-06
combined,211.2,0.0004140625
fish-only,192,1.5625e-05
combined,211.2,9.375e-05
fish-only,192,0.000375
combined,211.2,0.0038125
fish-only,192,0.000484375
combined,211.2,0.0004921875
fish-only,192,3.125e-05
combined,211.2,3.125e-05
fish-only,192,0.0006796875
combined,211.2,0.00144010416666667
fish-only,192,9.89583333333333e-05
combined,211.2,0.000114583333333333
fish-only,192,0.000359375
combined,211.2,0.0029375
fish-only,192,0.000520833333333333
combined,211.2,0.00108333333333333
fish-only,192,0.00025
combined,211.2,0.00253125
fish-only,192,0.000796875
combined,211.2,0.002875
fish-only,192,0.00065625
combined,211.2,0.001
fish-only,192,0.0006875
combined,211.2,0.0025
fish-only,192,0.006859375
combined,211.2,0.0100625
fish-only,192,0.000317708333333333
combined,211.2,0.0006875
fish-only,192,0.00065625
combined,211.2,0.00096875
fish-only,192,0.0016171875
combined,211.2,0.00278125
fish-only,192,0.000244791666666667
combined,211.2,0.000390625
fish-only,192,0.0003125
combined,211.2,0.0003671875
fish-only,192,0.0003203125
combined,211.2,0.000359375
fish-only,192,0.0001796875
combined,211.2,0.0003359375
fish-only,192,0.000125
combined,211.2,0.0002265625
fish-only,192,0.00015625
combined,211.2,0.0001953125
fish-only,192,9.375e-05
combined,211.2,0.0002109375
fish-only,192,9.375e-05
combined,211.2,0.0001171875
fish-only,192,0.000109375
combined,211.2,0.001
fish-only,192,0.000140625
combined,211.2,0.0001875
fish-only,192,9.375e-05
combined,211.2,0.00084375
fish-only,192,0.00028125
combined,211.2,0.00121875
fish-only,192,0.000359375
combined,211.2,0.001703125
fish-only,192,6.25e-05
combined,211.2,6.25e-05
fish-only,192,8.59375e-05
combined,211.2,8.59375e-05
fish-only,192,0.000109375
combined,211.2,0.000140625
fish-only,192,0.000171875
combined,211.2,0.000203125
fish-only,192,0.0002265625
combined,211.2,0.000234375
fish-only,192,0.000297794117647059
combined,211.2,0.000310661764705882
fish-only,192,0.00065625
combined,211.2,0.00100520833333333
fish-only,192,0.000578125
combined,211.2,0.000661458333333333
fish-only,192,0.000375
combined,211.2,0.000390625
fish-only,192,0.0003046875
combined,211.2,0.000328125
fish-only,192,0.0013125
combined,211.2,0.00133203125
fish-only,192,0.000421875
combined,211.2,0.000453125
fish-only,192,0.00040625
combined,211.2,0.0004921875
fish-only,192,0.0006171875
combined,211.2,0.000671875
fish-only,192,0.00153125
combined,211.2,0.001671875
fish-only,192,0.000359375
combined,211.2,0.00040625
fish-only,192,0.0002890625
combined,211.2,0.0003671875
fish-only,192,0.000140625
combined,211.2,0.000140625
fish-only,192,0.000125
combined,211.2,0.000140625
fish-only,192,0.00046875
combined,211.2,0.00075
fish-only,192,0.000390625
combined,211.2,5e-04
fish-only,192,0.000307291666666667
combined,211.2,0.000494791666666667
fish-only,192,0.00025390625
combined,211.2,0.00033984375
fish-only,192,0.008640625
combined,211.2,0.008734375
fish-only,192,0.00563802083333333
combined,211.2,0.00565104166666667
fish-only,192,0.00079296875
combined,211.2,0.00086328125
fish-only,192,0.000268229166666667
combined,211.2,0.000369791666666667
fish-only,192,0.000215625
combined,211.2,0.000275
fish-only,192,0.000255208333333333
combined,211.2,0.000338541666666667
fish-only,192,0.00076953125
combined,211.2,0.00158203125
fish-only,192,0.0006328125
combined,211.2,0.00067578125
fish-only,192,3.125e-05
combined,211.2,0.000296875
fish-only,192,9.375e-05
combined,211.2,0.001734375
fish-only,192,1.5625e-05
combined,211.2,4.6875e-05
fish-only,192,1.5625e-05
combined,211.2,1.5625e-05
fish-only,192,0.00046875
combined,211.2,0.000578125
fish-only,192,0.000420036764705882
combined,211.2,0.000734375
fish-only,192,3.125e-05
combined,211.2,0.000234375
fish-only,192,0.0002578125
combined,211.2,0.000265625
fish-only,192,9.20138888888889e-05
combined,211.2,0.000383680555555556
fish-only,192,9.375e-05
combined,211.2,0.000291666666666667
fish-only,192,0.00095703125
combined,211.2,0.00144140625
fish-only,192,7.8125e-05
combined,211.2,0.00096875
fish-only,192,0.000875
combined,211.2,0.001046875
fish-only,192,0.0001953125
combined,211.2,0.0005390625
fish-only,192,0.00021875
combined,211.2,0.000317708333333333
fish-only,192,0.000234375
combined,211.2,0.000359375
fish-only,192,0.000296875
combined,211.2,0.000526041666666667
fish-only,192,0.00015
combined,211.2,0.000271875
fish-only,192,0.000182291666666667
combined,211.2,0.001234375
fish-only,192,0.0002109375
combined,211.2,0.000796875
fish-only,192,9.375e-05
combined,211.2,0.0003125
fish-only,192,0.000292410714285714
combined,211.2,0.000401785714285714
fish-only,192,0.00011328125
combined,211.2,0.00021484375
fish-only,192,0.0002890625
combined,211.2,0.0004296875
fish-only,192,6.25e-05
combined,211.2,7.03125e-05
fish-only,192,7.03125e-05
combined,211.2,0.0004140625
fish-only,192,3.90625e-05
combined,211.2,0.0001171875
fish-only,192,2.08333333333333e-05
combined,211.2,9.375e-05
fish-only,192,8.85416666666667e-05
combined,211.2,8.85416666666667e-05
fish-only,192,0.000125
combined,211.2,0.00034375
fish-only,192,0.0001953125
combined,211.2,0.000328125
fish-only,192,0.0006328125
combined,211.2,0.0006328125
fish-only,192,0.000609375
combined,211.2,0.00071875
fish-only,192,1.04166666666667e-05
combined,211.2,3.125e-05
fish-only,192,0.000369791666666667
combined,211.2,0.000463541666666667
fish-only,192,0.0001875
combined,211.2,0.00046875
fish-only,192,0.0005625
combined,211.2,0.000578125
fish-only,192,0.000645833333333333
combined,211.2,0.000692708333333333
fish-only,192,0.0002734375
combined,211.2,0.0002734375
fish-only,192,0.00028125
combined,211.2,0.0008359375
fish-only,192,0.000739583333333333
combined,211.2,0.00108854166666667
fish-only,192,0.000671875
combined,211.2,0.00175
fish-only,192,9.375e-05
combined,211.2,0.000359375
fish-only,192,0.00034375
combined,211.2,0.002765625
fish-only,192,0.00021875
combined,211.2,0.00021875
fish-only,192,0.00275
combined,211.2,0.00275
fish-only,192,0.000765625
combined,211.2,0.00269140625
fish-only,192,0.00040625
combined,211.2,0.00241796875
fish-only,192,0.00046875
combined,211.2,0.00056640625
fish-only,192,0.0005859375
combined,211.2,0.000609375
fish-only,192,0.0019140625
combined,211.2,0.002625
fish-only,192,0.000159375
combined,211.2,0.000246875
fish-only,192,0.00028125
combined,211.2,0.0003125
fish-only,192,0.000546875
combined,211.2,0.000604166666666667
fish-only,192,0.0005859375
combined,211.2,0.00090625
fish-only,192,0.000255208333333333
combined,211.2,0.00188020833333333
fish-only,192,0.0004921875
combined,211.2,0.0005390625
fish-only,192,0.001921875
combined,211.2,0.00396875
fish-only,192,0.00125
combined,211.2,0.0076953125
fish-only,192,0.0008515625
combined,211.2,0.0027421875
fish-only,192,0.0001796875
combined,211.2,0.00019140625
fish-only,192,0.012265625
combined,211.2,0.01228125
fish-only,192,0.0001875
combined,211.2,0.000203125
fish-only,192,0.00098046875
combined,211.2,0.00279296875
fish-only,192,0.00253125
combined,211.2,0.002546875
fish-only,192,0.00103125
combined,211.2,0.00109375
fish-only,192,0.0002890625
combined,211.2,0.000296875
fish-only,192,0.0001484375
combined,211.2,0.001609375
fish-only,192,0.0001640625
combined,211.2,0.0001640625
fish-only,192,0.000125
combined,211.2,0.000140625
fish-only,192,0.00022265625
combined,211.2,0.0002265625
fish-only,192,0.0001796875
combined,211.2,0.000375
fish-only,192,0.00014453125
combined,211.2,0.00134375
fish-only,192,0.000645833333333333
combined,211.2,0.000796875
fish-only,192,0.00025
combined,211.2,0.000375
fish-only,192,0.00021875
combined,211.2,0.000234375
fish-only,192,0.000109375
combined,211.2,0.00021875
fish-only,192,0.000984375
combined,211.2,0.0011875
fish-only,192,0.000296875
combined,211.2,0.00078125
fish-only,192,0.0003125
combined,211.2,0.00040625
fish-only,192,0.000265625
combined,211.2,0.00028125
fish-only,192,0.0004921875
combined,211.2,0.0005078125
fish-only,192,0.00096875
combined,211.2,0.001
fish-only,192,0.00065625
combined,211.2,0.0007109375
fish-only,192,0.001015625
combined,211.2,0.00200520833333333
fish-only,192,0.000234375
combined,211.2,0.0010078125
fish-only,192,0.00028125
combined,211.2,0.0006875
fish-only,192,0.0002734375
combined,211.2,0.0009375
fish-only,192,0.0004453125
combined,211.2,0.00128125
fish-only,192,0.00115625
combined,211.2,0.0018828125
fish-only,192,0.0008125
combined,211.2,0.0015078125
fish-only,192,0.00103125
combined,211.2,0.00146875
fish-only,192,0.000447916666666667
combined,211.2,0.001109375
fish-only,192,0.001828125
combined,211.2,0.00249479166666667
fish-only,192,0.000708333333333333
combined,211.2,0.001734375
fish-only,192,0.000328125
combined,211.2,0.001703125
fish-only,192,0.0033359375
combined,211.2,0.0042109375
fish-only,192,0.0001953125
combined,211.2,0.000984375
fish-only,192,0.00021875
combined,211.2,0.001
fish-only,192,0.000375
combined,211.2,0.002515625
fish-only,192,0.000291666666666667
combined,211.2,0.00167708333333333
fish-only,192,0.0004296875
combined,211.2,0.0023515625
fish-only,192,0.00103125
combined,211.2,0.002671875
fish-only,192,0.000359375
combined,211.2,0.002203125
fish-only,192,0.000203125
combined,211.2,0.00176041666666667
fish-only,384,5.46875e-05
combined,422.4,0.0001796875
fish-only,384,3.90625e-05
combined,422.4,0.000109375
fish-only,384,0.00012109375
combined,422.4,0.00428125
fish-only,384,0.0003125
combined,422.4,0.0003203125
fish-only,384,0.0001640625
combined,422.4,0.0001640625
fish-only,384,0.000125
combined,422.4,0.0003203125
fish-only,384,0.000125
combined,422.4,0.0001640625
fish-only,384,0.0001875
combined,422.4,0.000213541666666667
fish-only,384,9.63541666666667e-05
combined,422.4,0.0001015625
fish-only,384,2.08333333333333e-05
combined,422.4,3.125e-05
fish-only,384,7.8125e-05
combined,422.4,0.000140625
fish-only,384,0.000548828125
combined,422.4,0.000556640625
fish-only,384,5.46875e-05
combined,422.4,0.00017578125
fish-only,384,0.00034765625
combined,422.4,0.00040234375
fish-only,384,3.125e-05
combined,422.4,3.90625e-05
fish-only,384,3.90625e-05
combined,422.4,4.6875e-05
fish-only,384,1.5625e-05
combined,422.4,3.90625e-05
fish-only,384,3.125e-05
combined,422.4,0.000265625
fish-only,384,7.03125e-05
combined,422.4,7.8125e-05
fish-only,384,8.59375e-05
combined,422.4,9.375e-05
fish-only,384,0.0001640625
combined,422.4,0.000171875
fish-only,384,8.59375e-05
combined,422.4,0.00011328125
fish-only,384,4.6875e-05
combined,422.4,6.25e-05
fish-only,384,2.34375e-05
combined,422.4,4.296875e-05
fish-only,384,3.125e-05
combined,422.4,3.125e-05
fish-only,384,1.5625e-05
combined,422.4,2.34375e-05
fish-only,384,8.59375e-05
combined,422.4,9.375e-05
fish-only,384,0.00044140625
combined,422.4,0.000453125
fish-only,384,7.8125e-06
combined,422.4,2.34375e-05
fish-only,384,0.000109375
combined,422.4,0.00026953125
fish-only,384,6.25e-05
combined,422.4,7.421875e-05
fish-only,384,5.078125e-05
combined,422.4,9.765625e-05
fish-only,384,0.00012109375
combined,422.4,0.000125
fish-only,384,0.00010546875
combined,422.4,0.00010546875
fish-only,384,0.000201171875
combined,422.4,0.000201171875
fish-only,384,0.0005625
combined,422.4,0.0005625
fish-only,384,0.00034375
combined,422.4,0.00034375
fish-only,384,0.00032421875
combined,422.4,0.00032421875
fish-only,384,0.00021484375
combined,422.4,0.00021484375
fish-only,384,0.000140625
combined,422.4,0.000140625
fish-only,384,0.0001953125
combined,422.4,0.0001953125
fish-only,384,0.000220703125
combined,422.4,0.000220703125
fish-only,384,0.00022265625
combined,422.4,0.00022265625
fish-only,384,0.000451171875
combined,422.4,0.000451171875
fish-only,384,0.000296875
combined,422.4,0.000296875
fish-only,384,0.000203125
combined,422.4,0.000203125
fish-only,384,0.0001171875
combined,422.4,0.000125
fish-only,384,0.0001328125
combined,422.4,0.0001328125
fish-only,384,5.46875e-05
combined,422.4,7.03125e-05
fish-only,384,0.0001015625
combined,422.4,0.0001015625
fish-only,384,0.0001171875
combined,422.4,0.0001171875
fish-only,384,0.000546875
combined,422.4,0.000546875
fish-only,384,0.0002734375
combined,422.4,0.00028125
fish-only,384,0.000203125
combined,422.4,0.000203125
fish-only,384,5e-04
combined,422.4,0.0006796875
fish-only,384,0.000703125
combined,422.4,0.000703125
fish-only,384,1.5625e-05
combined,422.4,0.009859375
fish-only,384,0.000671875
combined,422.4,0.0018671875
fish-only,384,7.03125e-05
combined,422.4,0.0016875
fish-only,384,1.5625e-05
combined,422.4,0.0020234375
fish-only,384,7.8125e-06
combined,422.4,0.0019609375
fish-only,384,3.125e-05
combined,422.4,0.00240625
fish-only,384,7.8125e-06
combined,422.4,0.00075
fish-only,384,7.8125e-06
combined,422.4,0.0003984375
fish-only,384,7.8125e-05
combined,422.4,0.0025546875
fish-only,384,1.5625e-05
combined,422.4,0.000296875
fish-only,384,7.8125e-06
combined,422.4,0.00034375
fish-only,384,2.34375e-05
combined,422.4,0.0018984375
fish-only,384,2.34375e-05
combined,422.4,0.0030390625
fish-only,384,1.5625e-05
combined,422.4,0.000875
fish-only,384,3.90625e-06
combined,422.4,0.00259765625
fish-only,384,2.34375e-05
combined,422.4,0.0008359375
fish-only,384,3.90625e-06
combined,422.4,0.00260546875
fish-only,384,1.171875e-05
combined,422.4,0.00024609375
fish-only,384,2.34375e-05
combined,422.4,7.421875e-05
fish-only,384,0.00015234375
combined,422.4,0.0001875
fish-only,384,3.90625e-05
combined,422.4,0.0020234375
fish-only,384,7.8125e-06
combined,422.4,0.00016015625
fish-only,384,3.90625e-06
combined,422.4,7.8125e-05
fish-only,384,1.953125e-05
combined,422.4,9.375e-05
fish-only,384,5.859375e-05
combined,422.4,0.004640625
fish-only,384,0.0007578125
combined,422.4,0.00076953125
fish-only,384,3.90625e-05
combined,422.4,4.6875e-05
fish-only,384,0.00059375
combined,422.4,0.0006171875
fish-only,384,0.0002578125
combined,422.4,0.0002578125
fish-only,384,0.00066015625
combined,422.4,0.00066015625
fish-only,384,0.0012265625
combined,422.4,0.0012265625
fish-only,384,0.00091015625
combined,422.4,0.00091796875
fish-only,384,0.00228125
combined,422.4,0.0022890625
fish-only,384,0.001453125
combined,422.4,0.0014609375
fish-only,384,0.00017578125
combined,422.4,0.0001796875
fish-only,384,0.0004453125
combined,422.4,0.000484375
fish-only,384,0.0005703125
combined,422.4,0.000578125
fish-only,384,3.90625e-05
combined,422.4,3.90625e-05
fish-only,384,7.8125e-06
combined,422.4,3.515625e-05
fish-only,384,7.8125e-06
combined,422.4,0.0001796875
fish-only,384,1.953125e-05
combined,422.4,4.296875e-05
fish-only,384,5.078125e-05
combined,422.4,5.078125e-05
fish-only,384,3.90625e-06
combined,422.4,4.296875e-05
fish-only,384,0.00062890625
combined,422.4,0.0006484375
fish-only,384,2.34375e-05
combined,422.4,2.734375e-05
fish-only,384,3.90625e-06
combined,422.4,3.90625e-06
fish-only,384,2.734375e-05
combined,422.4,3.125e-05
fish-only,384,5.078125e-05
combined,422.4,5.46875e-05
fish-only,384,0.00033203125
combined,422.4,0.0003359375
fish-only,384,0.00037890625
combined,422.4,0.0003828125
fish-only,384,7.8125e-06
combined,422.4,1.171875e-05
fish-only,384,6.640625e-05
combined,422.4,6.640625e-05
fish-only,384,8.203125e-05
combined,422.4,8.203125e-05
fish-only,384,6.25e-05
combined,422.4,6.25e-05
fish-only,384,0.00017578125
combined,422.4,0.00021484375
fish-only,384,0.000234375
combined,422.4,0.00023828125
fish-only,384,1.171875e-05
combined,422.4,0.000140625
fish-only,384,1.5625e-05
combined,422.4,9.375e-05
fish-only,384,3.90625e-06
combined,422.4,0.0001171875
fish-only,384,3.90625e-06
combined,422.4,1.5625e-05
fish-only,384,3.90625e-06
combined,422.4,1.171875e-05
fish-only,384,3.90625e-06
combined,422.4,0.00016015625
fish-only,384,7.8125e-06
combined,422.4,3.90625e-05
fish-only,384,7.8125e-06
combined,422.4,5.859375e-05
fish-only,384,3.90625e-06
combined,422.4,4.296875e-05
fish-only,384,3.90625e-06
combined,422.4,0.0006484375
fish-only,384,7.8125e-06
combined,422.4,9.765625e-05
fish-only,384,3.90625e-06
combined,422.4,0.000109375
fish-only,384,3.90625e-06
combined,422.4,8.203125e-05
fish-only,384,1.171875e-05
combined,422.4,1.171875e-05
fish-only,384,1.171875e-05
combined,422.4,0.0001796875
fish-only,384,0.00054296875
combined,422.4,0.0005859375
fish-only,384,0.000233072916666667
combined,422.4,0.00023828125
fish-only,384,0.000114583333333333
combined,422.4,0.0001328125
fish-only,384,7.55208333333333e-05
combined,422.4,8.07291666666667e-05
fish-only,384,9.375e-05
combined,422.4,0.00146875
fish-only,384,0.0001171875
combined,422.4,0.000328125
fish-only,384,1.5625e-05
combined,422.4,0.000171875
fish-only,384,6.25e-05
combined,422.4,0.000125
fish-only,384,7.03125e-05
combined,422.4,0.00028125
fish-only,384,4.6875e-05
combined,422.4,0.0002109375
fish-only,384,5.46875e-05
combined,422.4,0.000203125
fish-only,384,2.34375e-05
combined,422.4,0.0002265625
fish-only,384,2.5390625e-05
combined,422.4,0.000232421875
fish-only,384,2.34375e-05
combined,422.4,2.34375e-05
fish-only,384,0.000198828125
combined,422.4,0.00069609375
fish-only,384,0.0003109375
combined,422.4,0.0006703125
fish-only,384,0.000154947916666667
combined,422.4,0.000666666666666667
fish-only,384,8.81076388888889e-05
combined,422.4,0.000788194444444445
fish-only,384,0.000530048076923077
combined,422.4,0.000904447115384616
fish-only,384,0.000216796875
combined,422.4,0.00050830078125
fish-only,384,8.64955357142857e-05
combined,422.4,0.000421316964285714
fish-only,384,8.91927083333333e-05
combined,422.4,0.000379557291666667
fish-only,384,5.908203125e-05
combined,422.4,0.0004130859375
fish-only,384,7.34375e-05
combined,422.4,0.000365625
fish-only,384,8.92857142857143e-05
combined,422.4,0.000396205357142857
fish-only,384,0.000129092261904762
combined,422.4,0.000388020833333333
fish-only,384,5.390625e-05
combined,422.4,0.000367578125
fish-only,384,0.000651692708333334
combined,422.4,0.000676432291666667
fish-only,384,0.00068994140625
combined,422.4,0.0009169921875
fish-only,384,0.000138221153846154
combined,422.4,0.000276442307692308
fish-only,384,0.000240885416666667
combined,422.4,0.0005703125
fish-only,384,0.0001328125
combined,422.4,0.00053515625
fish-only,384,0.000298177083333333
