lat,lon,slope_fish,slope_comb,slope_diff
36.920171,-1.952525,-2.15202212705062,-2.15785801325006,-0.00583588619943898
36.752474,-2.114065,-2.18880843439632,-2.25736458019032,-0.0685561457939987
36.767256,-2.078923,-2.21315809541305,-2.23739486577852,-0.0242367703654725
36.739539,-2.114065,-2.20072688191119,-2.15125956896685,0.0494673129443402
36.883397,-2.000633,-2.21824094193344,-2.32884333076223,-0.110602388828786
36.86206,-2.004003,-2.00338733418379,-1.97433627791286,0.0290510562709301
36.820985,-2.04086,-1.98918609649864,-2.12812183736852,-0.138935740869878
36.936167,-1.912636,-2.15423746853205,-2.25618447167223,-0.101947003140185
36.935636,-1.909694,-2.13052987885516,-2.21290045597386,-0.0823705771187018
36.897792,-1.967786,-2.13883045159885,-2.22518704683597,-0.0863565952371204
36.5061,-4.8926,-2.17173080995783,-2.21888448486521,-0.0471536749073795
36.897792,-1.967786,-2.14608332288516,-2.17947394071408,-0.0333906178289256
36.824671,-2.5124,-2.23294753998651,-2.1987081702911,0.0342393696954151
36.827938,-2.491041,-2.11519327391972,-2.24211745427494,-0.12692418035522
36.817418,-2.553114,-2.15630102650442,-2.17598456840234,-0.0196835418979289
36.817431,-2.549364,-2.17481025345014,-2.15654643699748,0.0182638164526634
36.779832,-2.061853,-2.09770423760268,-2.13344458691479,-0.0357403493121056
36.789917,-2.060558,-2.13188741368897,-2.05856112261883,0.0733262910701376
36.853246,-1.997806,-2.12055081933567,-2.2131031214944,-0.092552302158726
36.702335,-3.406356,-2.11478509830258,-2.21910950694762,-0.104324408645038
36.71564,-3.362273,-2.3177261540103,-2.22527025335099,0.0924559006593064
36.4844,-4.7388,-2.04940787334096,-2.17112175669103,-0.121713883350072
36.73958,-3.325981,-2.23963441363397,-2.21806432590926,0.0215700877247094
36.736276,-3.340237,-2.02470284207258,-2.18210137036659,-0.157398528294014
36.748466,-3.176319,-2.09429007506241,-2.24888474560503,-0.154594670542619
36.699064,-2.85448,-1.8599630342782,-2.19966572426029,-0.339702689982088
36.742911,-3.6742911,-2.0544727507518,-2.19163461179753,-0.137161861045728
36.735789,-3.757623,-2.1182536451314,-2.25714692799018,-0.138893282858782
36.720552,-3.728413,-2.20724674312648,-2.14499048489066,0.0622562582358204
36.706799,-3.402366,-2.13197953252916,-2.14833512528014,-0.0163555927509873
36.708753,-3.388674,-2.19542565919689,-2.18457009186447,0.0108555673324182
36.744193,-3.602404,-1.97065120495624,-2.23458928492034,-0.263938079964107
36.5063,-4.6435,-1.91346581849503,-2.18959866543486,-0.276132846939829
36.5063,-4.6435,-1.86254794980883,-2.13380997280369,-0.271262022994866
36.57911,-4.54429,-2.11083608293328,-2.14138876377235,-0.0305526808390773
36.729486,-3.768328,-1.80376482843775,-1.8917150800323,-0.0879502515945445
36.731216,-3.771111,-2.15165768900187,-2.19987213432284,-0.0482144453209652
36.753408,-3.836721,-2.08212563924532,-2.11091159941033,-0.028785960165012
36.425684,-5.124615,-2.14495647441571,-2.20388720437215,-0.0589307299564439
36.451485,-5.049381,-1.98493692984865,-2.11990273411335,-0.134965804264702
36.004045,-5.612578,-2.07278427302327,-2.2503665156595,-0.177582242636231
36.001539,-5.612479,-2.0474026996314,-2.26411961616579,-0.21671691653439
36.819235,-2.537225,-2.17834967619821,-2.23906727057365,-0.0607175943754368
36.7026,-3.4111,-2.27889868380107,-2.24847395938044,0.0304247244206226
36.004332,-5.606493,-2.07270181268741,-2.24731838918196,-0.174616576494548
35.93983,-3.032507,-2.30795205523453,-2.25577891514307,0.0521731400914614
36.716116,-3.361789,-2.19442643640474,-2.12831426735737,0.0661121690473685
36.707784,-3.389196,-2.04904783140054,-2.14450382078864,-0.0954559893881033
36.992719,-1.886443,-2.05098840926772,-2.11953267443733,-0.0685442651696055
37.34797,-1.652119,-1.93136029311604,-2.07067307005046,-0.139312776934417
37.307648,-1.704479,-1.86414811151567,-2.08667702510822,-0.222528913592556
36.7432,-3.0128,-2.23145796868796,-2.1512549512497,0.0802030174382664
36.83,-2.4575,-2.22427306091546,-2.16630428445291,0.0579687764625581
36.824977,-2.51469,-2.15109419386756,-2.27488927582001,-0.123795081952457
-42.25556,-64.23408,-1.47117296756136,-2.35425011893572,-0.883077151374358
-42.93361,-64.50111,-1.13583007710515,-2.28294603215796,-1.14711595505281
-41.95856,-65.05808,-1.34412218062146,-2.21993200867334,-0.875809828051881
-41.95203,-65.06206,-1.33413705529684,-2.23602020542493,-0.901883150128085
-41.94308,-65.05764,-1.57009941711063,-2.28185656815043,-0.711757151039801
-42.62544,-64.25611,-1.37362212222051,-2.21233914306919,-0.838717020848673
-42.62194,-64.275,-1.58052258216254,-2.3716106655321,-0.791088083369556
-42.62836,-64.24044,-1.38392486622026,-2.15044336914723,-0.766518502926977
-42.76925,-64.97011,-1.31242111968739,-2.24324609594341,-0.930824976256025
-42.77528,-64.94983,-1.34804382241534,-2.2735473022445,-0.925503479829164
-42.77069,-64.93636,-1.43964721346754,-2.32872945570358,-0.88908224223604
-42.94156,-64.45508,-1.22624487658681,-2.15876712572596,-0.932522249139147
-42.94778,-64.43342,-1.32501711882328,-2.15915598608571,-0.834138867262428
