lat_zone,slope_diff,site_type
Temperate,-0.050770234557743,other
Temperate,-0.275303367222418,other
Temperate,-0.0059108517671278,other
Temperate,-0.0280141810803936,other
Temperate,-0.0388504700207781,other
Temperate,-0.214206746654631,other
Tropical,-0.0243673074101953,other
Tropical,-0.0125636388594512,other
Tropical,-0.0660344581316297,other
Tropical,-0.0554789465931687,other
Temperate,-0.539409577886454,other
Temperate,-0.430292866939023,other
Temperate,-0.508606305868487,other
Temperate,-0.491961409148609,other
Temperate,-0.546430717138695,other
Temperate,-0.614377757269676,other
Temperate,-0.480757283547917,other
Temperate,-0.475934793336371,other
Temperate,-0.337326734015589,other
Temperate,,other
Temperate,,other
Temperate,-0.446357814683076,other
Temperate,-0.513840341424513,other
Temperate,-0.215620301378654,other
Temperate,-0.149808645281159,other
Temperate,-0.16653995929575,other
Temperate,-0.0487041979638243,other
Temperate,-0.249714218121975,other
Temperate,0.0577328241863562,other
Temperate,-0.00558547713680424,other
Temperate,-0.161914215446042,other
Temperate,-0.18084602832119,other
Temperate,-0.195623786477281,other
Temperate,-0.0820924221199992,other
Temperate,0.0332188619988556,other
Temperate,-0.0516525987714616,other
Temperate,-0.0183148115317864,other
Temperate,-0.0104573815084112,other
Temperate,0.00375538772515593,other
Temperate,0.0297571773118879,other
Temperate,-0.0581036540900768,other
Temperate,-0.251100605513134,other
Temperate,-0.0867604949617347,other
Temperate,-0.0946101191384421,other
Temperate,-0.0132328559573858,other
Temperate,0.011387989223608,other
Temperate,-0.192352230004373,other
Temperate,-0.119838015340351,other
Temperate,-0.199020111840031,other
Temperate,0.0873705406640677,other
Temperate,0.0950413223716695,other
Temperate,0.0396176913293211,other
Temperate,-0.0591415653450254,other
Temperate,0.0752744628676521,other
Temperate,0.14931965176629,other
Temperate,-0.0101025537408064,other
Temperate,0.0732554949548758,other
Temperate,0.00194941889050604,other
Temperate,-0.181268963517174,other
Temperate,-0.0768946306850995,other
Temperate,-0.0186933813096684,other
Temperate,0.0107126565778124,other
Temperate,0.0440188533497592,other
Temperate,0.000176260310552845,other
Temperate,-0.079157883677734,other
Temperate,-0.0229638439217514,other
Temperate,-0.163436314871243,other
Temperate,-0.0166649186429706,other
Temperate,-0.126416751934948,other
Temperate,-0.0423189193344777,other
Temperate,-0.0319963915406154,other
Temperate,0.107844004050989,other
Temperate,-0.194152389828657,other
Temperate,-0.227462141720924,other
Temperate,-0.113174306538148,other
Temperate,0.050039742333297,other
Temperate,-0.0202945429221391,other
Temperate,-0.0580271885164332,other
Temperate,-0.026300917489531,other
Temperate,-0.0377682442060845,other
Temperate,0.211173800978586,other
Tropical,-0.393814952304772,other
Tropical,-0.347858541541873,other
Tropical,-0.238240828993511,other
Tropical,-0.332337020939668,other
Tropical,-0.345534922978564,other
Tropical,-0.318192524220249,other
Tropical,-0.363494780762502,other
Tropical,-0.364781996257843,other
Tropical,-0.468125141647839,other
Tropical,-0.282958158113851,other
Tropical,-0.250426799184883,other
Tropical,-0.327822798509617,other
Tropical,-0.309158683675103,other
Tropical,-0.0944712003886861,other
Tropical,-0.0723339593729189,other
Tropical,-0.0596843625067018,other
Tropical,-0.0347194599032372,other
Tropical,-0.0618229241835264,other
