bin_mid,norm_density,group_ordered
48,0.0038125,fish-only
96,0.00021875,fish-only
192,0.004859375,fish-only
384,2.34375e-05,fish-only
48,0.004,fish-only
96,0.00125,fish-only
192,0.00025,fish-only
384,1.5625e-05,fish-only
768,3.90625e-06,fish-only
48,0.0050625,fish-only
96,0.00146875,fish-only
192,0.000296875,fish-only
384,0.000109375,fish-only
768,1.5625e-05,fish-only
48,0.0105625,fish-only
96,0.00134375,fish-only
192,0.00065625,fish-only
384,6.25e-05,fish-only
768,3.90625e-06,fish-only
1536,1.953125e-06,fish-only
48,0.0069375,fish-only
96,0.001625,fish-only
192,0.000484375,fish-only
384,3.125e-05,fish-only
768,3.90625e-06,fish-only
1536,1.953125e-06,fish-only
48,0.0115625,fish-only
96,0.0025,fish-only
192,0.00034375,fish-only
384,5.46875e-05,fish-only
768,3.90625e-05,fish-only
1536,1.953125e-06,fish-only
48,0.0005625,fish-only
96,0.0003125,fish-only
192,0.00015625,fish-only
384,1.5625e-05,fish-only
1536,2.9296875e-05,fish-only
48,0.0013125,fish-only
96,0.00021875,fish-only
192,0.000171875,fish-only
384,7.8125e-06,fish-only
768,7.8125e-06,fish-only
1536,3.90625e-06,fish-only
3072,9.765625e-07,fish-only
48,0.003375,fish-only
96,0.001625,fish-only
192,0.000265625,fish-only
384,7.8125e-06,fish-only
48,0.0040625,fish-only
96,0.00121875,fish-only
192,0.000203125,fish-only
384,7.8125e-06,fish-only
48,0.006125,fish-only
96,0.00146875,fish-only
192,0.000296875,fish-only
384,7.8125e-06,fish-only
1536,3.90625e-06,fish-only
48,0.0026875,fish-only
96,0.00240625,fish-only
192,0.00021875,fish-only
384,7.8125e-06,fish-only
768,3.90625e-06,fish-only
48,0.0035625,fish-only
96,0.00121875,fish-only
192,0.00015625,fish-only
768,1.171875e-05,fish-only
48,0.0013125,fish-only
96,0.0020625,fish-only
192,0.000984375,fish-only
384,3.90625e-05,fish-only
768,1.171875e-05,fish-only
48,0.00375,fish-only
96,0.00090625,fish-only
192,0.000203125,fish-only
384,7.8125e-06,fish-only
48,0.0008125,fish-only
96,0.00175,fish-only
192,0.0001875,fish-only
384,1.5625e-05,fish-only
48,0.009625,fish-only
96,0.00365625,fish-only
192,0.000296875,fish-only
384,7.8125e-06,fish-only
768,7.8125e-06,fish-only
1536,7.8125e-06,fish-only
48,0.006625,fish-only
96,0.00071875,fish-only
192,0.000171875,fish-only
384,7.8125e-06,fish-only
48,0.0023125,fish-only
96,0.00071875,fish-only
192,0.000234375,fish-only
48,0.0028125,fish-only
96,0.0004375,fish-only
192,0.000140625,fish-only
384,0.00040625,fish-only
48,0.00259375,fish-only
96,0.000609375,fish-only
192,0.0001640625,fish-only
384,5.46875e-05,fish-only
48,0.0064375,fish-only
96,0.03490625,fish-only
192,0.00015625,fish-only
384,2.34375e-05,fish-only
48,0.001,fish-only
96,0.0003125,fish-only
192,0.000109375,fish-only
384,1.5625e-05,fish-only
48,0.001875,fish-only
96,0.006796875,fish-only
192,0.0001640625,fish-only
384,5.46875e-05,fish-only
48,0.0031875,fish-only
96,0.0004375,fish-only
192,5.46875e-05,fish-only
384,3.90625e-06,fish-only
48,0.00653125,fish-only
96,0.000953125,fish-only
192,3.90625e-05,fish-only
384,7.03125e-05,fish-only
48,0.0006875,fish-only
96,4.6875e-05,fish-only
192,7.8125e-06,fish-only
48,0.00559375,fish-only
96,0.000203125,fish-only
192,0.0001875,fish-only
48,0.019625,fish-only
96,0.001234375,fish-only
192,8.59375e-05,fish-only
384,2.34375e-05,fish-only
48,0.01090625,fish-only
96,0.007234375,fish-only
192,8.59375e-05,fish-only
384,1.953125e-05,fish-only
48,0.00228125,fish-only
96,0.001203125,fish-only
192,0.000109375,fish-only
384,3.90625e-05,fish-only
48,0.0025625,fish-only
96,0.00278125,fish-only
192,0.000234375,fish-only
384,2.734375e-05,fish-only
48,0.0008125,fish-only
96,0.00021875,fish-only
192,2.34375e-05,fish-only
384,7.8125e-06,fish-only
48,0.0005625,fish-only
96,9.375e-05,fish-only
192,1.5625e-05,fish-only
384,7.8125e-06,fish-only
48,0.00084375,fish-only
96,3.125e-05,fish-only
192,1.5625e-05,fish-only
48,0.00134375,fish-only
96,0.000625,fish-only
192,0.0001796875,fish-only
384,1.953125e-05,fish-only
768,1.953125e-06,fish-only
48,0.079625,fish-only
96,0.05628125,fish-only
192,9.375e-05,fish-only
384,4.6875e-05,fish-only
768,1.171875e-05,fish-only
24576,1.46484375e-05,fish-only
48,0.00384375,fish-only
96,0.003265625,fish-only
192,0.0003203125,fish-only
384,7.03125e-05,fish-only
768,1.953125e-06,fish-only
3072,5.37109375e-06,fish-only
48,0.0015,fish-only
96,0.0024375,fish-only
192,1.5625e-05,fish-only
384,7.8125e-06,fish-only
48,0.00259375,fish-only
96,0.000765625,fish-only
192,0.000359375,fish-only
384,2.734375e-05,fish-only
768,5.859375e-06,fish-only
48,0.00115625,fish-only
96,9.375e-05,fish-only
48,0.01125,fish-only
96,0.00396875,fish-only
192,0.000265625,fish-only
384,1.953125e-05,fish-only
768,1.171875e-05,fish-only
48,0.00484375,fish-only
96,0.001640625,fish-only
192,0.0001875,fish-only
384,3.125e-05,fish-only
1536,9.765625e-07,fish-only
48,0.012875,fish-only
96,0.00309375,fish-only
192,9.375e-05,fish-only
384,4.6875e-05,fish-only
48,0.058,fish-only
96,0.03171875,fish-only
192,0.000109375,fish-only
384,7.8125e-06,fish-only
48,0.00396875,fish-only
96,0.000828125,fish-only
192,0.0006328125,fish-only
384,0.000109375,fish-only
768,7.6171875e-05,fish-only
1536,9.765625e-07,fish-only
48,0.0226875,fish-only
96,0.002,fish-only
192,0.00203125,fish-only
384,0.0001953125,fish-only
768,1.953125e-05,fish-only
1536,9.765625e-07,fish-only
48,0.01534375,fish-only
96,0.001328125,fish-only
192,0.000390625,fish-only
384,8.203125e-05,fish-only
768,3.90625e-06,fish-only
48,0.0046875,fish-only
96,0.00034375,fish-only
384,1.171875e-05,fish-only
768,1.953125e-06,fish-only
48,0.07453125,fish-only
96,0.000296875,fish-only
192,0.000109375,fish-only
384,2.34375e-05,fish-only
768,9.765625e-06,fish-only
48,0.0015625,fish-only
96,0.000109375,fish-only
192,1.5625e-05,fish-only
48,0.000625,fish-only
96,1.5625e-05,fish-only
48,0.0065,fish-only
96,0.0104375,fish-only
192,6.25e-05,fish-only
48,0.0328125,fish-only
96,0.00146875,fish-only
192,0.00103125,fish-only
48,0.011,fish-only
96,0.001109375,fish-only
192,0.0001875,fish-only
384,7.8125e-05,fish-only
768,2.9296875e-05,fish-only
48,0.000375,fish-only
96,0.000546875,fish-only
192,0.0005390625,fish-only
384,0.0008046875,fish-only
768,0.00037890625,fish-only
1536,1.07421875e-05,fish-only
3072,1.953125e-06,fish-only
6144,3.662109375e-06,fish-only
96,6.25e-05,fish-only
192,1.5625e-05,fish-only
384,2.34375e-05,fish-only
768,1.953125e-05,fish-only
48,0.0035,fish-only
96,0.0009375,fish-only
192,6.25e-05,fish-only
384,0.0004140625,fish-only
768,0.000296875,fish-only
1536,3.90625e-05,fish-only
48,3.125e-05,fish-only
96,0.000171875,fish-only
192,0.0001015625,fish-only
384,0.00023046875,fish-only
768,0.00012890625,fish-only
1536,9.765625e-07,fish-only
48,0.00090625,fish-only
96,0.001421875,fish-only
192,0.000796875,fish-only
384,0.0005390625,fish-only
768,0.000330078125,fish-only
1536,3.7109375e-05,fish-only
3072,4.8828125e-07,fish-only
48,0.0003125,fish-only
96,0.00040625,fish-only
192,0.000375,fish-only
384,0.000546875,fish-only
768,0.00061328125,fish-only
1536,2.734375e-05,fish-only
48,0.00071875,fish-only
96,0.0016875,fish-only
192,0.0007734375,fish-only
384,0.0006484375,fish-only
768,0.000455078125,fish-only
1536,4.00390625e-05,fish-only
3072,4.8828125e-07,fish-only
96,0.00025,fish-only
192,0.001125,fish-only
384,0.0005703125,fish-only
768,0.001140625,fish-only
1536,0.000142578125,fish-only
3072,1.46484375e-05,fish-only
6144,3.41796875e-06,fish-only
48,6.25e-05,fish-only
96,0.00015625,fish-only
192,0.000109375,fish-only
384,0.000546875,fish-only
768,0.0007265625,fish-only
1536,9.765625e-05,fish-only
3072,1.953125e-06,fish-only
384,2.734375e-05,fish-only
768,8.7890625e-05,fish-only
48,5e-04,fish-only
96,0.00059375,fish-only
192,9.375e-05,fish-only
384,0.0005859375,fish-only
768,0.00022265625,fish-only
1536,1.171875e-05,fish-only
3072,2.9296875e-06,fish-only
6144,9.765625e-07,fish-only
96,4.6875e-05,fish-only
384,0.000203125,fish-only
768,0.00028515625,fish-only
1536,2.9296875e-05,fish-only
384,2.734375e-05,fish-only
768,1.953125e-05,fish-only
48,0.00015625,fish-only
96,0.000109375,fish-only
192,2.34375e-05,fish-only
768,3.90625e-06,fish-only
48,6.25e-05,fish-only
192,7.8125e-06,fish-only
384,3.90625e-06,fish-only
768,3.90625e-06,fish-only
1536,9.765625e-07,fish-only
48,0.0006875,fish-only
96,0.000265625,fish-only
192,0.000109375,fish-only
384,4.296875e-05,fish-only
768,9.765625e-06,fish-only
1536,2.9296875e-06,fish-only
48,5e-04,fish-only
96,0.000234375,fish-only
192,4.6875e-05,fish-only
384,1.953125e-05,fish-only
768,1.7578125e-05,fish-only
1536,4.8828125e-06,fish-only
48,0.000125,fish-only
96,9.375e-05,fish-only
192,3.90625e-05,fish-only
384,7.8125e-06,fish-only
48,3.125e-05,fish-only
96,7.8125e-05,fish-only
192,4.6875e-05,fish-only
384,1.953125e-05,fish-only
768,1.953125e-06,fish-only
48,0.00521875,fish-only
96,0.00340625,fish-only
192,0.0017734375,fish-only
384,0.00135546875,fish-only
768,0.000314453125,fish-only
1536,6.4453125e-05,fish-only
3072,9.765625e-07,fish-only
6144,2.44140625e-07,fish-only
48,0.03375,fish-only
96,0.009140625,fish-only
192,0.0026875,fish-only
384,0.000953125,fish-only
768,1.171875e-05,fish-only
1536,1.953125e-06,fish-only
48,0.00240625,fish-only
96,0.00025,fish-only
192,3.125e-05,fish-only
384,8.203125e-05,fish-only
768,1.953125e-06,fish-only
48,0.0420625,fish-only
96,0.003046875,fish-only
192,0.000765625,fish-only
384,0.0004609375,fish-only
768,1.3671875e-05,fish-only
3072,4.8828125e-07,fish-only
48,0.02090625,fish-only
96,0.00534375,fish-only
192,0.00421875,fish-only
384,0.0021953125,fish-only
768,2.5390625e-05,fish-only
1536,5.859375e-06,fish-only
3072,4.8828125e-07,fish-only
48,0.00865625,fish-only
96,0.002453125,fish-only
192,0.001328125,fish-only
384,0.00063671875,fish-only
768,0.000166015625,fish-only
1536,1.85546875e-05,fish-only
3072,1.46484375e-06,fish-only
6144,2.44140625e-07,fish-only
48,0.00925,fish-only
96,0.006125,fish-only
192,0.0045546875,fish-only
384,0.00118359375,fish-only
768,0.000189453125,fish-only
1536,6.8359375e-06,fish-only
3072,4.8828125e-07,fish-only
48,0.0035,fish-only
96,0.000734375,fish-only
192,0.000359375,fish-only
384,6.25e-05,fish-only
768,3.90625e-06,fish-only
48,0.0104375,fish-only
96,0.002828125,fish-only
192,0.000796875,fish-only
384,0.0003046875,fish-only
768,3.3203125e-05,fish-only
1536,9.765625e-07,fish-only
3072,4.8828125e-07,fish-only
48,0.00209375,fish-only
96,0.000453125,fish-only
192,0.0008515625,fish-only
384,0.00023828125,fish-only
768,4.1015625e-05,fish-only
1536,9.765625e-07,fish-only
3072,4.8828125e-07,fish-only
6144,2.44140625e-07,fish-only
48,0.01053125,fish-only
96,0.001484375,fish-only
192,0.000515625,fish-only
384,0.00021875,fish-only
768,3.125e-05,fish-only
3072,4.8828125e-07,fish-only
48,0.01478125,fish-only
96,0.004875,fish-only
192,0.000515625,fish-only
384,0.00017578125,fish-only
768,8.7890625e-05,fish-only
48,0.01628125,fish-only
96,0.006125,fish-only
192,0.0016953125,fish-only
384,0.00070703125,fish-only
768,0.0001171875,fish-only
1536,2.9296875e-06,fish-only
48,0.001625,fish-only
96,0.000671875,fish-only
192,0.000234375,fish-only
384,5.859375e-05,fish-only
48,0.002,fish-only
96,0.000625,fish-only
192,0.00028125,fish-only
384,1.953125e-05,fish-only
48,0.0046875,fish-only
96,0.00028125,fish-only
192,0.000265625,fish-only
384,2.34375e-05,fish-only
1536,9.765625e-07,fish-only
48,0.002375,fish-only
96,0.0001875,fish-only
192,3.125e-05,fish-only
384,2.734375e-05,fish-only
768,5.859375e-06,fish-only
3072,4.8828125e-07,fish-only
48,0.0069375,fish-only
96,0.000234375,fish-only
192,0.0001171875,fish-only
384,2.34375e-05,fish-only
48,0.00265625,fish-only
96,0.000328125,fish-only
192,0.0001015625,fish-only
384,4.6875e-05,fish-only
768,7.8125e-06,fish-only
1536,9.765625e-07,fish-only
3072,9.765625e-07,fish-only
24576,6.103515625e-08,fish-only
48,0.0021875,fish-only
96,0.00021875,fish-only
192,3.125e-05,fish-only
3072,3.662109375e-05,fish-only
48,0.00209375,fish-only
96,0.000453125,fish-only
192,0.000109375,fish-only
384,1.953125e-05,fish-only
768,1.953125e-06,fish-only
48,0.00134375,fish-only
96,7.8125e-05,fish-only
768,1.953125e-06,fish-only
48,0.000875,fish-only
96,6.25e-05,fish-only
192,7.8125e-06,fish-only
768,1.953125e-06,fish-only
48,0.00146875,fish-only
96,0.000265625,fish-only
192,2.34375e-05,fish-only
384,3.90625e-06,fish-only
768,1.953125e-06,fish-only
48,0.00284375,fish-only
96,0.000421875,fish-only
192,5.46875e-05,fish-only
384,7.8125e-06,fish-only
48,0.00671875,fish-only
96,0.000546875,fish-only
192,0.0001953125,fish-only
384,3.90625e-05,fish-only
48,0.00425,fish-only
96,0.000828125,fish-only
192,0.000109375,fish-only
384,7.8125e-05,fish-only
768,3.90625e-06,fish-only
48,0.00578125,fish-only
96,0.000640625,fish-only
192,0.000140625,fish-only
384,2.34375e-05,fish-only
768,3.90625e-06,fish-only
48,0.001875,fish-only
96,0.0001875,fish-only
192,3.90625e-05,fish-only
384,3.90625e-06,fish-only
768,1.953125e-06,fish-only
48,0.00215625,fish-only
96,0.0006875,fish-only
192,0.0001640625,fish-only
768,1.953125e-06,fish-only
48,0.0025625,fish-only
96,0.000859375,fish-only
192,0.000140625,fish-only
384,7.8125e-06,fish-only
768,3.90625e-06,fish-only
48,0.00146875,fish-only
96,0.00015625,fish-only
192,7.8125e-06,fish-only
48,0.00128125,fish-only
96,0.000390625,fish-only
192,5.46875e-05,fish-only
384,7.8125e-06,fish-only
768,1.953125e-06,fish-only
48,0.00178125,fish-only
96,0.000796875,fish-only
192,0.0003125,fish-only
384,1.171875e-05,fish-only
768,1.953125e-06,fish-only
48,0.00246875,fish-only
96,0.000234375,fish-only
192,1.5625e-05,fish-only
384,3.90625e-06,fish-only
768,5.859375e-06,fish-only
48,0.00309375,fish-only
96,0.00040625,fish-only
192,3.125e-05,fish-only
384,1.171875e-05,fish-only
768,5.859375e-06,fish-only
48,0.0195,fish-only
96,0.001546875,fish-only
192,0.0011796875,fish-only
384,0.000421875,fish-only
768,0.000255859375,fish-only
1536,4.8828125e-05,fish-only
3072,1.953125e-06,fish-only
6144,9.765625e-07,fish-only
48,0.0105,fish-only
