log_lmax,L_mean_log,class
3.09104245335832,1.24525792372343,Asteroidea
2.484906649788,1.68461053304415,Asteroidea
3.40119738166216,2.61396685218527,Malacostraca
2.70805020110221,1.26286432215413,Gastropoda
2.99573227355399,2.31559706228046,Cephalopoda
2.30258509299405,1.8231739453213,Gastropoda
2.01490302054226,0.916290731874155,Gastropoda
2.83321334405622,1.64524927902401,Echinoidea
3.2188758248682,1.47080847632211,Asteroidea
2.99573227355399,0.916290731874155,Asteroidea
2.89037175789616,0.916290731874155,Asteroidea
2.89037175789616,1.9756420086568,Malacostraca
3.55534806148941,0.927470525108993,Crinoidea
2.89037175789616,0.916290731874155,Crinoidea
2.484906649788,0.916290731874155,Asteroidea
3.8286413964891,1.76308871977716,Crinoidea
1.6094379124341,0.916290731874155,Gastropoda
2.30258509299405,0.916290731874155,Asteroidea
2.56494935746154,1.14370745268276,Asteroidea
2.63905732961526,0.916290731874155,Asteroidea
1.38629436111989,1.17760202044137,Echinoidea
0.78845736036427,0.916290731874155,Echinoidea
2.99573227355399,2.4998960052678,Holothuroidea
1.33500106673234,1.1803468006589,Gastropoda
1.54756250871601,0.916290731874155,Gastropoda
2.99573227355399,1.26286432215413,Gastropoda
1.50407739677627,1.08957752701414,Gastropoda
1.38629436111989,1.05492016798614,Gastropoda
2.56494935746154,3.07011345732539,Malacostraca
0.955511445027436,0.916290731874155,Gastropoda
3.91202300542815,3.51612951828752,Cephalopoda
2.07944154167984,2.41415686865115,Gastropoda
0.587786664902119,0.916290731874155,Gastropoda
2.484906649788,0.916290731874155,Gastropoda
1.19392246847243,0.916290731874155,Gastropoda
1.22377543162212,0.916290731874155,Gastropoda
1.38629436111989,1.05492016798614,Gastropoda
2.484906649788,1.6094379124341,Gastropoda
4.0943445622221,1.6094379124341,Gastropoda
1.79175946922806,0.916290731874155,Gastropoda
2.4423470353692,1.1473397920608,Gastropoda
1.25276296849537,1.36764238433179,Gastropoda
3.8286413964891,0.916290731874155,Crinoidea
3.8286413964891,2.07210065919816,Crinoidea
3.3322045101752,1.87974798450621,Crinoidea
3.78418963391826,2.20269120477701,Crinoidea
3.09104245335832,2.50531764704813,Asteroidea
1.94591014905531,1.42822200879646,Echinoidea
2.07944154167984,0.916290731874155,Echinoidea
3.91202300542815,2.76248314150627,Holothuroidea
3.80666248977032,2.23289390805076,Holothuroidea
3.2188758248682,3.2188758248682,Holothuroidea
3.91202300542815,2.69901543944824,Holothuroidea
3.68887945411394,3.21166528283254,Holothuroidea
2.484906649788,0.916290731874155,Holothuroidea
3.2188758248682,2.85366291660219,Holothuroidea
2.99573227355399,2.36890735875651,Holothuroidea
3.2188758248682,1.71262827375329,Holothuroidea
4.0943445622221,3.47827272157578,Holothuroidea
4.38202663467388,3.48433399560426,Holothuroidea
3.91202300542815,0.916290731874155,Holothuroidea
3.68887945411394,2.57116608692302,Malacostraca
3.91202300542815,2.82312303008292,Malacostraca
1.79175946922806,1.10533087202687,Malacostraca
0.693147180559945,0.916290731874155,Malacostraca
2.07944154167984,1.11433278346271,Malacostraca
2.484906649788,0.916290731874155,Malacostraca
1.6094379124341,1.81217046648818,Gastropoda
2.484906649788,1.95601150271407,Malacostraca
2.70805020110221,1.70507086299733,Asteroidea
2.70805020110221,2.01490302054226,Gastropoda
2.07944154167984,0.916290731874155,Gastropoda
3.21486780347066,2.54757812614042,Cephalopoda
1.98787434815435,1.6094379124341,Gastropoda
3.17805383034795,0.916290731874155,Gastropoda
3.17805383034795,2.25049020365318,Gastropoda
3.68887945411394,3.68887945411394,Malacostraca
1.79175946922806,0.916290731874155,Malacostraca
2.99573227355399,1.74806734854609,Crinoidea
1.50407739677627,0.916290731874155,Gastropoda
1.92181259747625,0.916290731874155,Malacostraca
4.49980967033027,3.2614941480597,Cephalopoda
1.6094379124341,1.10750374720104,Malacostraca
2.30258509299405,1.6094379124341,Malacostraca
2.99573227355399,1.11818613868866,Echinoidea
3.02042488614436,2.68636627793191,Echinoidea
2.07944154167984,0.916290731874155,Echinoidea
2.17853244432407,1.16834425207777,Echinoidea
2.30258509299405,0.916290731874155,Echinoidea
2.2512917986065,1.59944385144614,Gastropoda
1.79175946922806,0.916290731874155,Malacostraca
4.24849524204936,0.931618711992575,Asteroidea
2.99573227355399,1.61353364432016,Asteroidea
2.39789527279837,2.15874405676816,Malacostraca
3.91202300542815,3.10199343508547,Cephalopoda
2.99573227355399,3.07389516481214,Cephalopoda
2.484906649788,1.00757769570351,Echinoidea
3.40119738166216,1.61434553891978,Malacostraca
3.40119738166216,0.916290731874155,Malacostraca
3.40119738166216,1.27464262571977,Malacostraca
2.484906649788,1.6094379124341,Gastropoda
2.04883071566705,2.01490302054226,Gastropoda
3.91202300542815,1.37613013542676,Asteroidea
2.99573227355399,3.01300652766856,Holothuroidea
2.86220088092947,1.85957025327583,Echinoidea
2.50959926237837,1.62121621599974,Gastropoda
4.15888308335967,2.01010481119076,Malacostraca
2.99573227355399,2.28107225261486,Asteroidea
1.79175946922806,1.03181526196748,Malacostraca
3.40119738166216,1.90854796332766,Asteroidea
2.89037175789616,2.01735724316639,Asteroidea
2.01490302054226,1.87974798450621,Gastropoda
