lat_zone,name,value,lat_zone_ordered,name_ordered
Temperate,slope_fish,-2.09770423760268,Temperate,slope_fish
Temperate,slope_comb,-2.05856112261883,Temperate,slope_comb
Temperate,slope_fish,-2.13188741368897,Temperate,slope_fish
Temperate,slope_comb,-2.2131031214944,Temperate,slope_comb
Temperate,slope_fish,-2.12055081933567,Temperate,slope_fish
Temperate,slope_comb,-2.21910950694762,Temperate,slope_comb
Temperate,slope_fish,-2.11478509830258,Temperate,slope_fish
Temperate,slope_comb,-2.22527025335099,Temperate,slope_comb
Temperate,slope_fish,-2.3177261540103,Temperate,slope_fish
Temperate,slope_comb,-2.17112175669103,Temperate,slope_comb
Temperate,slope_fish,-2.04940787334096,Temperate,slope_fish
Temperate,slope_comb,-2.21806432590926,Temperate,slope_comb
Temperate,slope_fish,-2.23963441363397,Temperate,slope_fish
Temperate,slope_comb,-2.18210137036659,Temperate,slope_comb
Temperate,slope_fish,-2.02470284207258,Temperate,slope_fish
Temperate,slope_comb,-2.24888474560503,Temperate,slope_comb
Temperate,slope_fish,-2.09429007506241,Temperate,slope_fish
Temperate,slope_comb,-2.19966572426029,Temperate,slope_comb
Temperate,slope_fish,-1.8599630342782,Temperate,slope_fish
Temperate,slope_comb,-2.19163461179753,Temperate,slope_comb
Temperate,slope_fish,-2.0544727507518,Temperate,slope_fish
Temperate,slope_comb,-2.25714692799018,Temperate,slope_comb
Temperate,slope_fish,-2.1182536451314,Temperate,slope_fish
Temperate,slope_comb,-2.14499048489066,Temperate,slope_comb
Temperate,slope_fish,-2.20724674312648,Temperate,slope_fish
Temperate,slope_comb,-2.14833512528014,Temperate,slope_comb
Temperate,slope_fish,-2.13197953252916,Temperate,slope_fish
Temperate,slope_comb,-2.18457009186447,Temperate,slope_comb
Temperate,slope_fish,-2.19542565919689,Temperate,slope_fish
Temperate,slope_comb,-2.23458928492034,Temperate,slope_comb
Temperate,slope_fish,-1.97065120495624,Temperate,slope_fish
Temperate,slope_comb,-2.18959866543486,Temperate,slope_comb
Temperate,slope_fish,-1.91346581849503,Temperate,slope_fish
Temperate,slope_comb,-2.13380997280369,Temperate,slope_comb
Temperate,slope_fish,-1.86254794980883,Temperate,slope_fish
Temperate,slope_comb,-2.14138876377235,Temperate,slope_comb
Temperate,slope_fish,-2.11083608293328,Temperate,slope_fish
Temperate,slope_comb,-1.8917150800323,Temperate,slope_comb
Temperate,slope_fish,-1.80376482843775,Temperate,slope_fish
Temperate,slope_comb,-2.19987213432284,Temperate,slope_comb
Temperate,slope_fish,-2.15165768900187,Temperate,slope_fish
Temperate,slope_comb,-2.11091159941033,Temperate,slope_comb
Temperate,slope_fish,-2.08212563924532,Temperate,slope_fish
Temperate,slope_comb,-2.20388720437215,Temperate,slope_comb
Temperate,slope_fish,-2.14495647441571,Temperate,slope_fish
Temperate,slope_comb,-2.11990273411335,Temperate,slope_comb
Temperate,slope_fish,-1.98493692984865,Temperate,slope_fish
Temperate,slope_comb,-2.2503665156595,Temperate,slope_comb
Temperate,slope_fish,-2.07278427302327,Temperate,slope_fish
Temperate,slope_comb,-2.26411961616579,Temperate,slope_comb
Temperate,slope_fish,-2.0474026996314,Temperate,slope_fish
Temperate,slope_comb,-2.23906727057365,Temperate,slope_comb
Temperate,slope_fish,-2.17834967619821,Temperate,slope_fish
Temperate,slope_comb,-2.24847395938044,Temperate,slope_comb
Temperate,slope_fish,-2.27889868380107,Temperate,slope_fish
Temperate,slope_comb,-2.24731838918196,Temperate,slope_comb
Temperate,slope_fish,-2.07270181268741,Temperate,slope_fish
Temperate,slope_comb,-2.25577891514307,Temperate,slope_comb
Temperate,slope_fish,-2.30795205523453,Temperate,slope_fish
Temperate,slope_comb,-2.12831426735737,Temperate,slope_comb
Temperate,slope_fish,-2.19442643640474,Temperate,slope_fish
Temperate,slope_comb,-2.14450382078864,Temperate,slope_comb
Temperate,slope_fish,-2.04904783140054,Temperate,slope_fish
Temperate,slope_comb,-2.11953267443733,Temperate,slope_comb
Temperate,slope_fish,-2.05098840926772,Temperate,slope_fish
Temperate,slope_comb,-2.07067307005046,Temperate,slope_comb
Temperate,slope_fish,-1.93136029311604,Temperate,slope_fish
Temperate,slope_comb,-2.08667702510822,Temperate,slope_comb
Temperate,slope_fish,-1.86414811151567,Temperate,slope_fish
Temperate,slope_comb,-2.1512549512497,Temperate,slope_comb
Temperate,slope_fish,-2.23145796868796,Temperate,slope_fish
Temperate,slope_comb,-2.16630428445291,Temperate,slope_comb
Temperate,slope_fish,-2.22427306091546,Temperate,slope_fish
Temperate,slope_comb,-2.27488927582001,Temperate,slope_comb
Temperate,slope_fish,-2.15109419386756,Temperate,slope_fish
Temperate,slope_comb,-2.35425011893572,Temperate,slope_comb
Temperate,slope_fish,-1.47117296756136,Temperate,slope_fish
Temperate,slope_comb,-2.28294603215796,Temperate,slope_comb
Temperate,slope_fish,-1.13583007710515,Temperate,slope_fish
Temperate,slope_comb,-2.21993200867334,Temperate,slope_comb
Temperate,slope_fish,-1.34412218062146,Temperate,slope_fish
Temperate,slope_comb,-2.23602020542493,Temperate,slope_comb
Temperate,slope_fish,-1.33413705529684,Temperate,slope_fish
Temperate,slope_comb,-2.28185656815043,Temperate,slope_comb
Temperate,slope_fish,-1.57009941711063,Temperate,slope_fish
Temperate,slope_comb,-2.21233914306919,Temperate,slope_comb
Temperate,slope_fish,-1.37362212222051,Temperate,slope_fish
Temperate,slope_comb,-2.3716106655321,Temperate,slope_comb
Temperate,slope_fish,-1.58052258216254,Temperate,slope_fish
Temperate,slope_comb,-2.15044336914723,Temperate,slope_comb
Temperate,slope_fish,-1.38392486622026,Temperate,slope_fish
Temperate,slope_comb,-2.24324609594341,Temperate,slope_comb
Temperate,slope_fish,-1.31242111968739,Temperate,slope_fish
Temperate,slope_comb,-2.2735473022445,Temperate,slope_comb
Temperate,slope_fish,-1.34804382241534,Temperate,slope_fish
Temperate,slope_comb,-2.32872945570358,Temperate,slope_comb
Temperate,slope_fish,-1.43964721346754,Temperate,slope_fish
Temperate,slope_comb,-2.15876712572596,Temperate,slope_comb
Temperate,slope_fish,-1.22624487658681,Temperate,slope_fish
Temperate,slope_comb,-2.15915598608571,Temperate,slope_comb
Temperate,slope_fish,-1.32501711882328,Temperate,slope_fish
Temperate,slope_comb,-2.10821170632701,Temperate,slope_comb
Temperate,slope_fish,-1.77104714262646,Temperate,slope_fish
Temperate,slope_comb,-2.08871322673138,Temperate,slope_comb
Temperate,slope_fish,-1.71238217422788,Temperate,slope_fish
Temperate,slope_comb,-2.09425532096263,Temperate,slope_comb
Temperate,slope_fish,-1.87448505976788,Temperate,slope_fish
Temperate,slope_comb,-1.98211441352435,Temperate,slope_comb
Temperate,slope_fish,-1.82516522523366,Temperate,slope_fish
Temperate,slope_comb,-2.07664561761027,Temperate,slope_comb
