ecoregion,bin_mid,norm_density,fit,ecoregion_trim,site_id
Lesser Sunda,48,0.0049375,0.0144815061835804,Lesser Sunda,178
Lesser Sunda,48,0.00791666666666667,0.012188070243903,Lesser Sunda,179
Lesser Sunda,48,0.00489583333333333,0.00726976498693471,Lesser Sunda,180
Lesser Sunda,48,0.00591666666666667,0.00742035233605653,Lesser Sunda,181
North American Pacific Fijordland,48,0.1433125,0.0395956643470766,North American P...,182
North American Pacific Fijordland,48,0.02,0.0143792684318593,North American P...,183
North American Pacific Fijordland,48,0.0053125,0.00928157710813687,North American P...,184
North American Pacific Fijordland,48,0.00275,0.00602982190842672,North American P...,185
North American Pacific Fijordland,48,0.0078125,0.0101141127463392,North American P...,186
North American Pacific Fijordland,48,0.0046875,0.00806258740915258,North American P...,187
North American Pacific Fijordland,48,0.0090625,0.00847006447052283,North American P...,188
North American Pacific Fijordland,48,0.0075625,0.00867509071443664,North American P...,189
Bassian,48,5e-04,0.00149628812317443,Bassian,190
Bassian,48,0.00315625,0.00365904151020234,Bassian,191
Bassian,48,0.00109375,0.0016663309334207,Bassian,192
Bassian,48,0.00603125,0.0027370343500735,Bassian,193
Bassian,48,0.0045,0.00431999027944754,Bassian,194
Bassian,48,9.375e-05,0.000530259466843794,Bassian,195
Cape Howe,48,0.02536875,0.0297458085189428,Cape Howe,196
Cape Howe,48,0.01775,0.0200775298604361,Cape Howe,197
Cape Howe,48,0.0294375,0.0301732193282275,Cape Howe,198
Cape Howe,48,0.0296979166666667,0.0270014949528726,Cape Howe,199
Cape Howe,48,0.0325432692307692,0.0435702562081493,Cape Howe,200
Cape Howe,48,0.02390625,0.0263951371552935,Cape Howe,201
Cape Howe,48,0.0232991071428571,0.0197358071432926,Cape Howe,202
Cape Howe,48,0.014578125,0.0151650444802876,Cape Howe,203
Cape Howe,48,0.01591796875,0.0161118663444345,Cape Howe,204
Cape Howe,48,0.01350625,0.0221516294756831,Cape Howe,205
Cape Howe,48,0.0263973214285714,0.028346065445263,Cape Howe,206
Cape Howe,48,0.0134434523809524,0.0210110681828134,Cape Howe,207
Cape Howe,48,0.01801875,0.0208322628792941,Cape Howe,208
Cape Howe,48,0.0258489583333333,0.0322125201174613,Cape Howe,209
Cape Howe,48,0.02312890625,0.0528210800919203,Cape Howe,210
Cape Howe,48,0.00896153846153846,0.0130605987118754,Cape Howe,211
Cape Howe,48,0.02328125,0.0261266882293657,Cape Howe,212
Cape Howe,48,0.0188177083333333,0.01673028055992,Cape Howe,213
Cape Howe,48,0.026609375,0.0283112936518269,Cape Howe,214
Cape Howe,48,0.064125,0.0690434568195523,Cape Howe,215
Cape Howe,48,0.0100763888888889,0.0126912342249701,Cape Howe,216
Cape Howe,48,0.0209722222222222,0.0298049236095032,Cape Howe,217
Cape Howe,48,0.019403125,0.0256336688485034,Cape Howe,218
Cape Howe,48,0.0157239583333333,0.0164089591192187,Cape Howe,219
Cape Howe,48,0.032125,0.0248935312489996,Cape Howe,220
Cape Howe,48,0.0229375,0.0284700071590165,Cape Howe,221
Cape Howe,48,0.069375,0.0305278212520555,Cape Howe,222
Cape Howe,48,0.017375,0.0217536132139866,Cape Howe,223
Cape Howe,48,0.011875,0.0217059525977974,Cape Howe,224
Cape Howe,48,0.0189375,0.0345315285362889,Cape Howe,225
Cape Howe,48,0.0711875,0.0513903517618725,Cape Howe,226
Cape Howe,48,0.024,0.0220487982613765,Cape Howe,227
Cape Howe,48,0.0150625,0.0166119371640493,Cape Howe,228
Cape Howe,48,0.03153125,0.0200815119416059,Cape Howe,229
Cape Howe,48,0.014125,0.015995325801075,Cape Howe,230
Cape Howe,48,0.0221875,0.0341724277711299,Cape Howe,231
Cape Howe,48,0.0174375,0.0244698307198716,Cape Howe,232
Cape Howe,48,0.0190625,0.0369717961141875,Cape Howe,233
Cape Howe,48,0.0813515625,0.0627302190543484,Cape Howe,234
Cape Howe,48,0.0964375,0.0503448579305686,Cape Howe,235
Cape Howe,48,0.0539375,0.0688180173582258,Cape Howe,236
Cape Howe,48,0.0932604166666667,0.0773681671187538,Cape Howe,237
Cape Howe,48,0.0821875,0.0497007484463958,Cape Howe,238
Cape Howe,48,0.04053125,0.0404279614642877,Cape Howe,239
Cape Howe,48,0.0291,0.0273834901279338,Cape Howe,240
Cape Howe,48,0.024525,0.0423492990166797,Cape Howe,241
Cape Howe,48,0.0469375,0.0434594709882265,Cape Howe,242
Cape Howe,48,0.050984375,0.0696038723390428,Cape Howe,243
Cape Howe,48,0.0211875,0.0259277905438613,Cape Howe,244
Cape Howe,48,0.0256458333333333,0.0212441723618996,Cape Howe,245
Cape Howe,48,0.027125,0.0208425018001079,Cape Howe,246
Cape Howe,48,0.03553125,0.0453744270882031,Cape Howe,247
Cape Howe,48,0.0603125,0.0705347529526545,Cape Howe,248
Cape Howe,48,0.02475,0.0369923473607664,Cape Howe,249
Cape Howe,48,0.0269375,0.03763098971589,Cape Howe,250
Cape Howe,48,0.0369375,0.0190554259709011,Cape Howe,252
Southwestern Caribbean,48,0.43028125,0.0760643408302839,Southwestern Car...,253
Southwestern Caribbean,48,0.123604166666667,0.0357173647599273,Southwestern Car...,254
Southwestern Caribbean,48,0.0536875,0.0258941858676984,Southwestern Car...,255
Southwestern Caribbean,48,0.0381875,0.0204687101834727,Southwestern Car...,256
Southwestern Caribbean,48,0.0573125,0.0246261823381127,Southwestern Car...,257
Southwestern Caribbean,48,0.174270833333333,0.0555111407270722,Southwestern Car...,258
Southwestern Caribbean,48,0.19196875,0.0553414022621764,Southwestern Car...,259
Southwestern Caribbean,48,0.20465625,0.0487825003652248,Southwestern Car...,260
Southwestern Caribbean,48,0.38709375,0.0667106620801872,Southwestern Car...,261
Southwestern Caribbean,48,0.04609375,0.0253079402408142,Southwestern Car...,262
Southwestern Caribbean,48,0.07946875,0.0324524762182207,Southwestern Car...,263
Southwestern Caribbean,48,0.185666666666667,0.0507922010190816,Southwestern Car...,264
Southwestern Caribbean,48,0.1191875,0.0361408046373319,Southwestern Car...,265
Southern Caribbean,48,0.00375,0.00559534511901315,Southern Caribbean,266
